# generated by ews.pipeline on 2026-05-12T02:21:30, loader=derived
ticker,date,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,drawdown_12m
AAL,2010-05-31,0.24893921848929823,0.14974001098926348,1.5446693320449802,0.7088727689521728,0.7067143348887704,0.4640882153520362
BBBY,2010-05-31,0.21621621621621623,0.6841317798054463,0.5337423233118439,0.7645815946013893,0.6057627986208592,0.3711047806586847
F,2010-05-31,-0.0990785826481142,-0.040098492179759915,0.3436422616107746,0.44502509606563107,0.4121953511770716,0.2531118578626659
GE,2010-05-31,-0.13308627373936888,0.028301549819246707,0.038835168815836596,0.3314129779564578,0.28439239081164475,0.22091272400022507
INTC,2010-05-31,-0.0555570234461944,0.042080752159446844,0.13781406967396626,0.29284073396638693,0.2737998674377377,0.14055365805585293
PFE,2010-05-31,-0.07951534229739321,-0.1255395853484148,-0.14872105859798002,0.20598758818642973,0.21693135979083664,0.23187800528141742
SPG,2010-05-31,-0.03845514953188389,0.09725365062577551,0.23811747733463395,0.36498906132722475,0.3368013348888182,0.17999603075384885
XOM,2010-05-31,-0.10180603386971221,-0.07053586962208769,-0.18167885699958175,0.17961647097051803,0.17581117737610238,0.2140398486457668
AAL,2010-06-30,-0.08792364242659412,0.1635134235486353,0.7679674552381257,0.8054360856769153,0.6927854920252734,0.4640882153520362
BBBY,2010-06-30,-0.18640250158960037,0.0692307753078929,0.3365383937134243,0.7582875268742302,0.6444868395318746,0.3711047806586847
F,2010-06-30,-0.14936699430897094,-0.20190024440320808,0.009009207609046888,0.4371894635002407,0.43307079024298495,0.31673598036460043
GE,2010-06-30,-0.11244315146822847,-0.20831649814765218,-0.04872074910413171,0.3487633451729284,0.30492256825706787,0.2558177055151942
INTC,2010-06-30,-0.10820749185747924,-0.12518182711079828,-0.041095022197169206,0.3268935377790262,0.2876954789718439,0.19128069978252607
PFE,2010-06-30,-0.061842096521562695,-0.1563066881101831,-0.21370993700987662,0.23543736443000693,0.22406710485308862,0.27268120768398457
SPG,2010-06-30,-0.0674443865960741,-0.03766778087567879,0.006361609257653944,0.4100880217042728,0.35105026899279196,0.1636561486077223
XOM,2010-06-30,-0.06088515290866425,-0.15016166108568196,-0.1590459388305865,0.23586473027718943,0.19620810812617878,0.24372383920840257
AAL,2010-07-31,0.2543352188797423,0.4682003334300213,0.937499932259138,0.7759329155857075,0.7040784072876529,0.4640882153520362
BBBY,2010-07-31,0.07387292893121544,0.002027415937933208,0.637945398311925,0.7742494015061615,0.6810518415442924,0.3711047806586847
F,2010-07-31,0.20813598861116933,-0.039849721010099204,0.14838139439555786,0.4648320301793681,0.4243731951767705,0.31673598036460043
GE,2010-07-31,0.14164307846991386,-0.15771794463589728,0.0045299634395115085,0.3726829642501527,0.3153111253320547,0.2836858788632392
INTC,2010-07-31,0.07013016184208198,-0.10811276532536418,0.06635566349617195,0.335969401939706,0.2817568131680586,0.20167518927687725
PFE,2010-07-31,0.054111267939563445,-0.10360257840020837,-0.1856715766434638,0.25333022969004854,0.21758682354651893,0.2788017714341382
SPG,2010-07-31,0.1008018771010939,-0.03196098970460792,0.23131932256620513,0.3917548309989588,0.36104057753551994,0.1636561486077223
XOM,2010-07-31,0.05423046929128161,-0.11430855151624286,-0.08616974401125299,0.2451081181921942,0.20112832141859258,0.2503498494542752
AAL,2010-08-31,-0.15197029815342789,-0.01845840321241876,0.2349724820063228,0.6444321741608147,0.6868101786863597,0.4640882153520362
BBBY,2010-08-31,-0.29170880978074454,-0.39559965295800315,0.07110094117739685,0.6811455165194922,0.7336981777191875,0.4343645614625154
F,2010-08-31,-0.12548416261345274,-0.05602052031529858,-0.11727920205479825,0.3793941000275155,0.4130897649796534,0.31673598036460043
GE,2010-08-31,-0.11707302745071935,-0.1141682174603571,-0.0954728666184258,0.2817628122435488,0.31009900511982713,0.2836858788632392
INTC,2010-08-31,-0.14687137343260692,-0.18699564965998494,-0.12662577228565253,0.27436118533656007,0.2875204362085389,0.25968727845451683
